Strain Name	Virus Type	Subtype/Genotype (ViPR)	GenBank Accession	Sequence Length	Collection Date	Host	GenBank Host	Country	Mol Type	
UNKNOWN-HV035219	Hepatitis C virus	1a	HV035219	9598	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV194262	Hepatitis C virus	1a	HV194262	9185	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202550	Hepatitis C virus	1b	HV202550	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202551	Hepatitis C virus	1b	HV202551	8637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202554	Hepatitis C virus	1b	HV202554	8649	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202556	Hepatitis C virus	1b	HV202556	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202558	Hepatitis C virus	1b	HV202558	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV202560	Hepatitis C virus	1b	HV202560	11076	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV316665	Hepatitis C virus	1b	HV316665	9611	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV322803	Hepatitis C virus	2a	HV322803	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV569215	Hepatitis C virus	1a	HV569215	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV698446	Hepatitis C virus	1a	HV698446	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV703561	Hepatitis C virus	1b	HV703561	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV960745	Hepatitis C virus	1b	HV960745	9607	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV982591	Hepatitis C virus	1b	HV982591	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV982592	Hepatitis C virus	1b	HV982592	9414	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV982593	Hepatitis C virus	1b	HV982593	9400	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HV982594	Hepatitis C virus	1c	HV982594	9441	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HW121682	Hepatitis C virus	3a	HW121682	9655	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HW295723	Hepatitis C virus	1a	HW295723	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-HW340100	Hepatitis C virus	1b	HW340100	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
UNKNOWN-HW340101	Hepatitis C virus	1b	HW340101	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
UNKNOWN-HW340105	Hepatitis C virus	1b	HW340105	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
UNKNOWN-HW340155	Hepatitis C virus	1b	HW340155	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
UNKNOWN-HW340156	Hepatitis C virus	1b	HW340156	9594	-N/A-	Unknown	-N/A-	-N/A-	unassigned RNA	
UNKNOWN-HW413014	Hepatitis C virus	1a	HW413014	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA206597	Hepatitis C virus	3a	JA206597	9637	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA206598	Hepatitis C virus	4a	JA206598	9579	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212513	Hepatitis C virus	2a	JA212513	9624	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212514	Hepatitis C virus	2a	JA212514	9624	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212515	Hepatitis C virus	2a	JA212515	9624	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212516	Hepatitis C virus	2a	JA212516	9624	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212517	Hepatitis C virus	2a	JA212517	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212518	Hepatitis C virus	2a	JA212518	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212519	Hepatitis C virus	2a	JA212519	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212520	Hepatitis C virus	2a	JA212520	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212521	Hepatitis C virus	2a	JA212521	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212522	Hepatitis C virus	2a	JA212522	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212523	Hepatitis C virus	2a	JA212523	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212524	Hepatitis C virus	2a	JA212524	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212525	Hepatitis C virus	2a	JA212525	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212526	Hepatitis C virus	2a	JA212526	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212527	Hepatitis C virus	2a	JA212527	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212528	Hepatitis C virus	2a	JA212528	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212529	Hepatitis C virus	2a	JA212529	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212530	Hepatitis C virus	2a	JA212530	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212531	Hepatitis C virus	2a	JA212531	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212532	Hepatitis C virus	2a	JA212532	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212533	Hepatitis C virus	2a	JA212533	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212534	Hepatitis C virus	2a	JA212534	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212535	Hepatitis C virus	2a	JA212535	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212536	Hepatitis C virus	2a	JA212536	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212537	Hepatitis C virus	2a	JA212537	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212538	Hepatitis C virus	2a	JA212538	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212539	Hepatitis C virus	2a	JA212539	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212540	Hepatitis C virus	2a	JA212540	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212541	Hepatitis C virus	2a	JA212541	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212542	Hepatitis C virus	2a	JA212542	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212543	Hepatitis C virus	2a	JA212543	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212544	Hepatitis C virus	2a	JA212544	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212545	Hepatitis C virus	2a	JA212545	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212546	Hepatitis C virus	2a	JA212546	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212547	Hepatitis C virus	2a	JA212547	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212548	Hepatitis C virus	2a	JA212548	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212549	Hepatitis C virus	2a	JA212549	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212550	Hepatitis C virus	2a	JA212550	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212551	Hepatitis C virus	2a	JA212551	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212552	Hepatitis C virus	2a	JA212552	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212553	Hepatitis C virus	2a	JA212553	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212554	Hepatitis C virus	2a	JA212554	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212555	Hepatitis C virus	2a	JA212555	9618	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212556	Hepatitis C virus	1a/2a	JA212556	9612	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212557	Hepatitis C virus	1a/2a	JA212557	9612	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212558	Hepatitis C virus	1a/2a	JA212558	9612	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212559	Hepatitis C virus	1b/2a	JA212559	9609	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212560	Hepatitis C virus	1b/2a	JA212560	9609	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212561	Hepatitis C virus	3a/2a	JA212561	9642	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212562	Hepatitis C virus	3a/2a	JA212562	9642	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212563	Hepatitis C virus	4a/2a	JA212563	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212564	Hepatitis C virus	4a/2a	JA212564	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212565	Hepatitis C virus	5a/2a	JA212565	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212566	Hepatitis C virus	5a/2a	JA212566	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212567	Hepatitis C virus	5a/2a	JA212567	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212568	Hepatitis C virus	6a/2a	JA212568	9639	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212569	Hepatitis C virus	6a/2a	JA212569	9639	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212570	Hepatitis C virus	7a/2a	JA212570	9618	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212571	Hepatitis C virus	2a	JA212571	9624	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212572	Hepatitis C virus	2a	JA212572	9621	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212573	Hepatitis C virus	2a	JA212573	9678	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212574	Hepatitis C virus	2a	JA212574	9636	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212575	Hepatitis C virus	2a	JA212575	9615	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212576	Hepatitis C virus	2a	JA212576	9630	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212577	Hepatitis C virus	2a	JA212577	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212578	Hepatitis C virus	2a	JA212578	9492	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212579	Hepatitis C virus	2a	JA212579	9492	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212580	Hepatitis C virus	2a	JA212580	9558	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212581	Hepatitis C virus	2a	JA212581	9579	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212582	Hepatitis C virus	2a	JA212582	9579	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212583	Hepatitis C virus	2a	JA212583	9576	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212584	Hepatitis C virus	2a	JA212584	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212585	Hepatitis C virus	2a	JA212585	9633	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212586	Hepatitis C virus	2a	JA212586	9591	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212587	Hepatitis C virus	2a	JA212587	9570	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212588	Hepatitis C virus	2a	JA212588	9585	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212589	Hepatitis C virus	2a	JA212589	9588	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212590	Hepatitis C virus	2a	JA212590	9573	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212591	Hepatitis C virus	2a	JA212591	12387	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212592	Hepatitis C virus	2a	JA212592	12372	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212593	Hepatitis C virus	2a	JA212593	12387	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA212705	Hepatitis C virus	4a/2a	JA212705	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JA414895	Hepatitis C virus	1a	JA414895	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JB286663	Hepatitis C virus	1a	JB286663	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JB336931	Hepatitis C virus	1a	JB336931	9599	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JC286038	Hepatitis C virus	1a	JC286038	9337	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JC286039	Hepatitis C virus	1b	JC286039	9587	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JC998729	Hepatitis C virus	1a	JC998729	12584	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JC998730	Hepatitis C virus	1a	JC998730	9584	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589847	Hepatitis C virus	2b	JD589847	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589848	Hepatitis C virus	2b	JD589848	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589849	Hepatitis C virus	2b	JD589849	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589850	Hepatitis C virus	2b	JD589850	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589851	Hepatitis C virus	2b	JD589851	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589852	Hepatitis C virus	2b	JD589852	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589853	Hepatitis C virus	2b	JD589853	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589854	Hepatitis C virus	2b	JD589854	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589855	Hepatitis C virus	2b	JD589855	9663	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589856	Hepatitis C virus	2b	JD589856	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589857	Hepatitis C virus	2b	JD589857	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589858	Hepatitis C virus	2b	JD589858	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589859	Hepatitis C virus	2b	JD589859	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589860	Hepatitis C virus	2b	JD589860	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JD589861	Hepatitis C virus	2b	JD589861	9659	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984228	Hepatitis C virus	1a/2a	JE984228	9613	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984229	Hepatitis C virus	1a/2a	JE984229	9613	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984230	Hepatitis C virus	3a/2a	JE984230	9641	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984231	Hepatitis C virus	4a/2a	JE984231	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984232	Hepatitis C virus	5a/2a	JE984232	9620	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984233	Hepatitis C virus	6a/2a	JE984233	9641	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JE984240	Hepatitis C virus	4a/2a	JE984240	9603	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
UNKNOWN-JQ745651	Hepatitis C virus	2b	JQ745651	9659	01/16/2012	Unknown	-N/A-	Denmark	genomic RNA	
UNKNOWN-JX014307	Hepatitis C virus	2a	JX014307	9678	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
UNKNOWN-KF700370	Hepatitis C virus	2a	KF700370	9678	10/2010	Human	Homo sapiens	USA	genomic RNA	
V-D (Germany)	Hepatitis C virus	3a	X76918	9390	-N/A-	Unknown	-N/A-	-N/A-	mRNA	
V2524	Hepatitis C virus	1a	HQ850282	9272	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V2540	Hepatitis C virus	1a	HQ850283	9267	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3181	Hepatitis C virus	1a	HQ850284	9256	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3188	Hepatitis C virus	1a	HQ850285	9282	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3190	Hepatitis C virus	1a	HQ850286	9324	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3191	Hepatitis C virus	1a	HQ850287	9270	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3195	Hepatitis C virus	1a	HQ850288	9276	-N/A-	Human	Homo sapiens	USA	genomic RNA	
V3350	Hepatitis C virus	1a	HQ850290	9265	-N/A-	Human	Homo sapiens	USA	genomic RNA	
vaccine Brett	Hepatitis C virus	1b	DD418408	9595	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
VN085	Hepatitis C virus	6h	KM252784	9409	-N/A-	Human	Homo sapiens	Viet Nam	genomic RNA	
VN541	Hepatitis C virus	6a	KJ678809	9405	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
VN865	Hepatitis C virus	6a	KJ678810	9403	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
VN930	Hepatitis C virus	6a	KJ678811	9404	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
VT21	Hepatitis C virus	6t	EF632071	9406	-N/A-	Unknown	-N/A-	Viet Nam	genomic RNA	
WS083	Hepatitis C virus	6a	KJ678812	9426	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
ZS221	Hepatitis C virus	6a	KJ678813	9431	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
ZS526	Hepatitis C virus	6a	KJ678814	9398	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
ZS548	Hepatitis C virus	6a	KJ678815	9399	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
ZS653	Hepatitis C virus	6a	KJ678816	9403	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
ZS674	Hepatitis C virus	6a	KJ678817	9431	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
6a33	Hepatitis C virus (isolate 6a33)	6a	AY859526	9355	-N/A-	Unknown	-N/A-	Hong Kong	genomic RNA	
BEBE1	Hepatitis C virus (isolate BEBE1)	2c	D50409	9513	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
EUH1480	Hepatitis C virus (isolate EUH1480)	5a	Y13184	9343	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
euhk2	Hepatitis C virus (isolate EUHK2)	6a	Y12083	9340	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
H77	Hepatitis C virus (isolate H77)	1a	AF011751	9599	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
H77	Hepatitis C virus (isolate H77)	1a	AF011752	9599	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
H77	Hepatitis C virus (isolate H77)	1a	AF011753	9599	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HC-G9	Hepatitis C virus (isolate HC-G9)	1c	D14853	9487	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
K3a	Hepatitis C virus (isolate HCV-K3a/650)	3a	D28917	9454	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
India	Hepatitis C virus (isolate India)	1c	AY051292	9441	-N/A-	Unknown	-N/A-	India	mRNA	
JK046	Hepatitis C virus (isolate JK046)	6g	D63822	9461	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
JK049	Hepatitis C virus (isolate JK049)	3k	D63821	9450	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
MA	Hepatitis C virus (isolate JPUT971017)	2b	AB030907	9654	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
NZL1	Hepatitis C virus (isolate NZL1)	3a	D17763	9456	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Th580	Hepatitis C virus (isolate Th580)	6b	D84262	9628	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
patient Tr Kj	Hepatitis C virus (isolate Tr Kj)	3b	D49374	9444	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV VAT96	Hepatitis C virus (isolate VAT96)	2k	AB031663	9488	-N/A-	Human	Homo sapiens	-N/A-	genomic RNA	
VN004	Hepatitis C virus (isolate VN004)	6h	D84265	9621	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
VN235	Hepatitis C virus (isolate VN235)	6d	D84263	9615	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
VN405	Hepatitis C virus (isolate VN405)	6k	D84264	9601	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ED43 genotype 4A	Hepatitis C virus ED43	4a	Y11604	9355	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ED43	Hepatitis C virus ED43	4a	GU814265	9497	-N/A-	Unknown	-N/A-	Egypt	genomic RNA	
HC-J6CH	Hepatitis C virus genotype 2	2a	NC_009823*	9711	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
NCVI/PK1	Hepatitis C virus genotype 3	3a	JN588558	9449	12/2009	Human	Homo sapiens	Pakistan	genomic RNA	
NZL1	Hepatitis C virus genotype 3	3a	NC_009824*	9456	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ED43	Hepatitis C virus genotype 4	4a	NC_009825*	9355	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
HCV-unclassified4/GB/BID-G1253	Hepatitis C virus genotype 4	4_JX227964	JX227964	9337	-N/A-	Human	Homo sapiens	United Kingdom	genomic RNA	
EUH1480	Hepatitis C virus genotype 5	5a	NC_009826*	9343	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
Th580	Hepatitis C virus genotype 6	6b	NC_009827*	9628	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
ZS202	Hepatitis C virus genotype 6	-N/A-	KC844040	9447	2009	Human	Homo sapiens	China	genomic RNA	
ZS96	Hepatitis C virus genotype 6	-N/A-	KC844039	9488	2009	Human	Homo sapiens	China	genomic RNA	
HCV-M2123	Hepatitis C virus isolate M2123	2b/1b	AB558135	9463	01/22/2005	Unknown	-N/A-	Japan	genomic RNA	
UNKNOWN-JC527408	Hepatitis C virus J6CF	2a	JC527408	9711	-N/A-	Unknown	-N/A-	-N/A-	unassigned DNA	
JFH-1	Hepatitis C virus JFH-1	2a	AB047639	9678	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
QC69	Hepatitis C virus QC69	7a	EF108306	9443	-N/A-	Human	Homo sapiens	Canada	genomic RNA	
Con1 I377_NS2	Hepatitis C virus replicon I377/NS2-3'UTR	Manipulated Genome	AJ242651	8637	-N/A-	Unknown	-N/A-	-N/A-	other RNA	
Con1 I389_NS2	Hepatitis C virus replicon I389/NS2-3'UTR	Manipulated Genome	AJ242653	8649	-N/A-	Unknown	-N/A-	-N/A-	other RNA	
S52	Hepatitis C virus S52	3a	GU814263	9555	-N/A-	Unknown	-N/A-	Italy	genomic RNA	
SA13	Hepatitis C virus SA13	5a	AF064490	9408	-N/A-	Unknown	-N/A-	-N/A-	genomic RNA	
M21-2k/1b	Hepatitis C virus strain M21-2k/1b	2k/1b	FJ821465	9398	02/2007	Human	Homo sapiens	France	other RNA	
00-11	Hepatitis C virus subtype 1a	1a	EU781771	9330	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00-21	Hepatitis C virus subtype 1a	1a	EU781749	9332	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00-66	Hepatitis C virus subtype 1a	1a	EU781797	9297	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00A	Hepatitis C virus subtype 1a	1a	EU781776	9326	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00G	Hepatitis C virus subtype 1a	1a	EU781802	9317	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00M	Hepatitis C virus subtype 1a	1a	EU781779	9312	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00R	Hepatitis C virus subtype 1a	1a	EU781748	9369	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00U	Hepatitis C virus subtype 1a	1a	EU781746	9402	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00W	Hepatitis C virus subtype 1a	1a	EU781781	9307	-N/A-	Human	Homo sapiens	USA	genomic RNA	
00Z	Hepatitis C virus subtype 1a	1a	EU781747	9374	-N/A-	Human	Homo sapiens	USA	genomic RNA	
01-33	Hepatitis C virus subtype 1a	1a	EU781788	9316	-N/A-	Human	Homo sapiens	USA	genomic RNA	
01-37	Hepatitis C virus subtype 1a	1a	EU781793	9303	-N/A-	Human	Homo sapiens	USA	genomic RNA	
