sequenceID	genotype	subtype	gb_isolate	gb_country_short	gb_place_sampled	gb_collection_year	gb_collection_month	gb_collection_month_day	gb_lab_construct	gb_host	gb_pubmed_id
KF292063	6	a	10CNgx0899	China	-	2010	OCT	5	false	Homo sapiens	-
KF292064	6	a	10CNgx0900	China	-	2010	OCT	5	false	Homo sapiens	-
KF292065	6	a	10CNgx0904	China	-	2010	OCT	5	false	Homo sapiens	-
KF292066	6	a	10CNgx0905	China	-	2010	OCT	5	false	Homo sapiens	-
KF292067	6	a	10CNgx0922	China	-	2010	OCT	5	false	Homo sapiens	-
KF292068	6	a	10CNgx0923	China	-	2010	OCT	5	false	Homo sapiens	-
KF292069	6	a	10CNgx0942	China	-	2010	OCT	5	false	Homo sapiens	-
KF292070	6	a	10CNgx0944	China	-	2010	OCT	5	false	Homo sapiens	-
KF292071	6	a	10CNgx0950	China	-	2010	OCT	5	false	Homo sapiens	-
KF292072	6	a	10CNgx0951	China	-	2010	OCT	5	false	Homo sapiens	-
KF292073	6	a	10CNgx0954	China	-	2010	OCT	5	false	Homo sapiens	-
KF292074	6	a	10CNgx0967	China	-	2010	OCT	5	false	Homo sapiens	-
KF292075	6	a	10CNgx0973	China	-	2010	OCT	5	false	Homo sapiens	-
KF292076	6	a	10CNgx0977	China	-	2010	OCT	5	false	Homo sapiens	-
KF292077	6	a	10CNgx0982	China	-	2010	OCT	5	false	Homo sapiens	-
KF292078	6	a	10CNgx0992	China	-	2010	OCT	5	false	Homo sapiens	-
KF292079	6	a	10CNgx0997	China	-	2010	OCT	5	false	Homo sapiens	-
KF292081	6	a	10CNgx1001	China	-	2010	OCT	5	false	Homo sapiens	-
KF292082	6	a	10CNgx1206	China	-	2010	OCT	5	false	Homo sapiens	-
KF292084	6	a	10CNgx1308	China	-	2010	OCT	5	false	Homo sapiens	-
KF292098	6	e	10CNgx0955	China	-	2010	OCT	5	false	Homo sapiens	-
KF292112	6	e	10CNgx0998	China	-	2010	OCT	5	false	Homo sapiens	-
KF292119	6	e	10CNgx1244	China	-	2010	OCT	5	false	Homo sapiens	-
KF292122	6	a	09CNgx0035	China	-	2009	MAR	1	false	Homo sapiens	-
KF292125	6	a	09CNgx0277	China	-	2009	MAR	1	false	Homo sapiens	-
KF292126	6	a	09CNgx0283	China	-	2009	MAR	1	false	Homo sapiens	-
KF292127	6	a	09CNgx0292	China	-	2009	MAR	1	false	Homo sapiens	-
KF292132	6	a	09CNgx0327	China	-	2009	MAR	1	false	Homo sapiens	-
KF292135	6	a	09CNgx0682	China	-	2009	MAR	1	false	Homo sapiens	-
KF292136	6	a	09CNgx0687	China	-	2009	MAR	1	false	Homo sapiens	-
KF292138	6	a	10CNgx0896	China	-	2010	OCT	5	false	Homo sapiens	-
KF292140	6	a	10CNgx0904	China	-	2010	OCT	5	false	Homo sapiens	-
KF292141	6	a	10CNgx0905	China	-	2010	OCT	5	false	Homo sapiens	-
KF292146	6	a	10CNgx0922	China	-	2010	OCT	5	false	Homo sapiens	-
KF292147	6	a	10CNgx0923	China	-	2010	OCT	5	false	Homo sapiens	-
KF292150	6	a	10CNgx0942	China	-	2010	OCT	5	false	Homo sapiens	-
KF292152	6	a	10CNgx0944	China	-	2010	OCT	5	false	Homo sapiens	-
KF292153	6	a	10CNgx0950	China	-	2010	OCT	5	false	Homo sapiens	-
KF292154	6	a	10CNgx0954	China	-	2010	OCT	5	false	Homo sapiens	-
KF292155	6	e	10CNgx0955	China	-	2010	OCT	5	false	Homo sapiens	-
KF292156	6	a	10CNgx0956	China	-	2010	OCT	5	false	Homo sapiens	-
KF292160	6	a	10CNgx0967	China	-	2010	OCT	5	false	Homo sapiens	-
KF292161	6	a	10CNgx0977	China	-	2010	OCT	5	false	Homo sapiens	-
KF292164	6	a	10CNgx0995	China	-	2010	OCT	5	false	Homo sapiens	-
KF292166	6	e	10CNgx0998	China	-	2010	OCT	5	false	Homo sapiens	-
KF292170	6	a	10CNgx1206	China	-	2010	OCT	5	false	Homo sapiens	-
KF292174	6	e	10CNgx1244	China	-	2010	OCT	5	false	Homo sapiens	-
KF585937	6	a	BT06	-	-	-	-	-	false	Homo sapiens	24719413
KF585940	6	a	CS04	-	-	-	-	-	false	Homo sapiens	24719413
KF585948	6	n	CS42	-	-	-	-	-	false	Homo sapiens	24719413
KF585949	6	a	CS46	-	-	-	-	-	false	Homo sapiens	24719413
KF585955	6	a	FJ06	-	-	-	-	-	false	Homo sapiens	24719413
KF585958	6	a	FJ11	-	-	-	-	-	false	Homo sapiens	24719413
KF585959	6	a	FJ12	-	-	-	-	-	false	Homo sapiens	24719413
KF585962	6	a	FJ16	-	-	-	-	-	false	Homo sapiens	24719413
KF585964	6	a	FJ19	-	-	-	-	-	false	Homo sapiens	24719413
KF585967	6	a	GX01	-	-	-	-	-	false	Homo sapiens	24719413
KF585971	6	a	GX07	-	-	-	-	-	false	Homo sapiens	24719413
KF585974	6	a	GX10	-	-	-	-	-	false	Homo sapiens	24719413
KF585975	6	a	GZ03	-	-	-	-	-	false	Homo sapiens	24719413
KF585976	6	a	GZ04	-	-	-	-	-	false	Homo sapiens	24719413
KF585977	6	a	GZ05	-	-	-	-	-	false	Homo sapiens	24719413
KF585978	6	a	GZ06	-	-	-	-	-	false	Homo sapiens	24719413
KF585981	6	a	GZ10	-	-	-	-	-	false	Homo sapiens	24719413
KF585983	6	a	GZ102	-	-	-	-	-	false	Homo sapiens	24719413
KF585987	6	a	GZ109	-	-	-	-	-	false	Homo sapiens	24719413
KF585988	6	a	GZ12	-	-	-	-	-	false	Homo sapiens	24719413
KF585993	6	n	GZ19	-	-	-	-	-	false	Homo sapiens	24719413
KF585997	6	a	GZ32	-	-	-	-	-	false	Homo sapiens	24719413
KF585998	6	a	GZ35	-	-	-	-	-	false	Homo sapiens	24719413
KF586001	6	a	GZ40	-	-	-	-	-	false	Homo sapiens	24719413
KF586002	6	a	GZ42	-	-	-	-	-	false	Homo sapiens	24719413
KF586007	6	a	GZ52	-	-	-	-	-	false	Homo sapiens	24719413
KF586008	6	a	GZ53	-	-	-	-	-	false	Homo sapiens	24719413
KF586015	6	a	GZ63	-	-	-	-	-	false	Homo sapiens	24719413
KF586017	6	a	GZ65	-	-	-	-	-	false	Homo sapiens	24719413
KF586018	6	a	GZ67	-	-	-	-	-	false	Homo sapiens	24719413
KF586019	6	a	GZ68	-	-	-	-	-	false	Homo sapiens	24719413
KF586020	6	a	GZ69	-	-	-	-	-	false	Homo sapiens	24719413
KF586024	6	a	GZ74	-	-	-	-	-	false	Homo sapiens	24719413
KF586025	6	a	GZ75	-	-	-	-	-	false	Homo sapiens	24719413
KF586026	6	a	GZ78	-	-	-	-	-	false	Homo sapiens	24719413
KF586028	6	a	GZ83	-	-	-	-	-	false	Homo sapiens	24719413
KF586030	6	a	GZ85	-	-	-	-	-	false	Homo sapiens	24719413
KF586032	6	a	GZ87	-	-	-	-	-	false	Homo sapiens	24719413
KF586033	6	a	GZ88	-	-	-	-	-	false	Homo sapiens	24719413
KF586035	6	a	GZ90	-	-	-	-	-	false	Homo sapiens	24719413
KF586038	6	a	GZ94	-	-	-	-	-	false	Homo sapiens	24719413
KF586040	6	a	GZ98	-	-	-	-	-	false	Homo sapiens	24719413
KF586053	6	a	HB60	-	-	-	-	-	false	Homo sapiens	24719413
KF586054	6	a	HN03	-	-	-	-	-	false	Homo sapiens	24719413
KF586058	6	a	HN17	-	-	-	-	-	false	Homo sapiens	24719413
KF586059	6	a	HN25	-	-	-	-	-	false	Homo sapiens	24719413
KF586066	6	a	HZ04	-	-	-	-	-	false	Homo sapiens	24719413
KF586067	6	a	HZ05	-	-	-	-	-	false	Homo sapiens	24719413
KF586071	6	a	JX17	-	-	-	-	-	false	Homo sapiens	24719413
KF586076	6	v	KM02	-	-	-	-	-	false	Homo sapiens	24719413
KF586077	6	a	KM03	-	-	-	-	-	false	Homo sapiens	24719413
KF586079	6	xe	KM05	-	-	-	-	-	false	Homo sapiens	24719413
KF586081	6	n	KM07	-	-	-	-	-	false	Homo sapiens	24719413
KF586088	6	n	KM14	-	-	-	-	-	false	Homo sapiens	24719413
KF586089	6	a	KM15	-	-	-	-	-	false	Homo sapiens	24719413
KF586095	6	n	KM22	-	-	-	-	-	false	Homo sapiens	24719413
KF586113	6	a	KM42	-	-	-	-	-	false	Homo sapiens	24719413
KF586118	6	a	KM48	-	-	-	-	-	false	Homo sapiens	24719413
KF586120	6	n	KM50	-	-	-	-	-	false	Homo sapiens	24719413
KF586127	6	xe	KM57	-	-	-	-	-	false	Homo sapiens	24719413
KF586137	6	n	LN60	-	-	-	-	-	false	Homo sapiens	24719413
KF586173	6	n	SH17	-	-	-	-	-	false	Homo sapiens	24719413
KF586174	6	a	SH20	-	-	-	-	-	false	Homo sapiens	24719413
KF586178	6	a	SH28	-	-	-	-	-	false	Homo sapiens	24719413
KF586184	6	n	SH39	-	-	-	-	-	false	Homo sapiens	24719413
KF586186	6	n	SH42	-	-	-	-	-	false	Homo sapiens	24719413
KF586290	6	a	XA23	-	-	-	-	-	false	Homo sapiens	24719413
KF586316	6	a	XA50	-	-	-	-	-	false	Homo sapiens	24719413
KF926866	6	a	BL0239	China	-	2012	-	-	false	Homo sapiens	-
KF926867	6	a	BL0142	China	-	2012	-	-	false	Homo sapiens	-
KF926868	6	a	BL0229	China	-	2012	-	-	false	Homo sapiens	-
KF926869	6	a	BL0257	China	-	2012	-	-	false	Homo sapiens	-
KF926870	6	a	BL0170	China	-	2012	-	-	false	Homo sapiens	-
KF926871	6	a	BL0037	China	-	2012	-	-	false	Homo sapiens	-
KF926872	6	a	BL0089	China	-	2012	-	-	false	Homo sapiens	-
KF926873	6	a	BL0115	China	-	2012	-	-	false	Homo sapiens	-
KF926874	6	a	BL0240	China	-	2012	-	-	false	Homo sapiens	-
KF926875	6	a	BL0090	China	-	2012	-	-	false	Homo sapiens	-
KF926876	6	a	BL0198	China	-	2012	-	-	false	Homo sapiens	-
KF926877	6	a	BL0047	China	-	2012	-	-	false	Homo sapiens	-
KF926878	6	a	BL0004	China	-	2012	-	-	false	Homo sapiens	-
KF926879	6	a	BL0003	China	-	2012	-	-	false	Homo sapiens	-
KF926880	6	a	BL0165	China	-	2012	-	-	false	Homo sapiens	-
KF926881	6	a	BL0243	China	-	2012	-	-	false	Homo sapiens	-
KF926882	6	a	BL0113	China	-	2012	-	-	false	Homo sapiens	-
KF926883	6	a	BL0271	China	-	2012	-	-	false	Homo sapiens	-
KF926884	6	a	BL0013	China	-	2012	-	-	false	Homo sapiens	-
KF926885	6	a	BL0091	China	-	2012	-	-	false	Homo sapiens	-
KF926886	6	a	BL0098	China	-	2012	-	-	false	Homo sapiens	-
KF926887	6	a	BL0281	China	-	2012	-	-	false	Homo sapiens	-
KF926888	6	a	BL0158	China	-	2012	-	-	false	Homo sapiens	-
KF926889	6	a	BL0163	China	-	2012	-	-	false	Homo sapiens	-
KF926890	6	a	BL0006	China	-	2012	-	-	false	Homo sapiens	-
KF926891	6	a	BL0228	China	-	2012	-	-	false	Homo sapiens	-
KF926892	6	a	BL0167	China	-	2012	-	-	false	Homo sapiens	-
KF926893	6	a	BL0122	China	-	2012	-	-	false	Homo sapiens	-
KF926894	6	a	BL0188	China	-	2012	-	-	false	Homo sapiens	-
KF926895	6	a	BL0213	China	-	2012	-	-	false	Homo sapiens	-
KF926896	6	a	BL0064	China	-	2012	-	-	false	Homo sapiens	-
KF926897	6	a	BL0118	China	-	2012	-	-	false	Homo sapiens	-
KF926898	6	a	BL0032	China	-	2012	-	-	false	Homo sapiens	-
KF926899	6	a	BL0235	China	-	2012	-	-	false	Homo sapiens	-
KF926900	6	a	BL0039	China	-	2012	-	-	false	Homo sapiens	-
KF926901	6	a	BL0096	China	-	2012	-	-	false	Homo sapiens	-
KF926902	6	a	BL0088	China	-	2012	-	-	false	Homo sapiens	-
KF926903	6	a	BL0021	China	-	2012	-	-	false	Homo sapiens	-
KF926904	6	a	BL0035	China	-	2012	-	-	false	Homo sapiens	-
KF926905	6	a	BL0061	China	-	2012	-	-	false	Homo sapiens	-
KF926906	6	a	BL0028	China	-	2012	-	-	false	Homo sapiens	-
KF926907	6	a	BL0036	China	-	2012	-	-	false	Homo sapiens	-
KF926908	6	a	BL0143	China	-	2012	-	-	false	Homo sapiens	-
KF926909	6	a	BL0164	China	-	2012	-	-	false	Homo sapiens	-
KF926910	6	a	BL0237	China	-	2012	-	-	false	Homo sapiens	-
KF926911	6	a	BL0248	China	-	2012	-	-	false	Homo sapiens	-
KF926912	6	a	BL0148	China	-	2012	-	-	false	Homo sapiens	-
KF926913	6	a	BL0054	China	-	2012	-	-	false	Homo sapiens	-
KF926914	6	a	BL0112	China	-	2012	-	-	false	Homo sapiens	-
KF926915	6	a	BL0168	China	-	2012	-	-	false	Homo sapiens	-
KF926916	6	a	BL0221	China	-	2012	-	-	false	Homo sapiens	-
KF926917	6	a	BL0157	China	-	2012	-	-	false	Homo sapiens	-
KF926918	6	a	BL0293	China	-	2012	-	-	false	Homo sapiens	-
KF926919	6	a	BL0045	China	-	2012	-	-	false	Homo sapiens	-
KF926920	6	a	BL0171	China	-	2012	-	-	false	Homo sapiens	-
KF926921	6	a	BL0057	China	-	2012	-	-	false	Homo sapiens	-
KF926922	6	a	BL0193	China	-	2012	-	-	false	Homo sapiens	-
KF926923	6	a	BL0046	China	-	2012	-	-	false	Homo sapiens	-
KF926924	6	a	BL0099	China	-	2012	-	-	false	Homo sapiens	-
KF926925	6	a	BL0199	China	-	2012	-	-	false	Homo sapiens	-
KF926926	6	a	BL0095	China	-	2012	-	-	false	Homo sapiens	-
KF926927	6	a	BL0048	China	-	2012	-	-	false	Homo sapiens	-
KF926928	6	a	BL0018	China	-	2012	-	-	false	Homo sapiens	-
KF926929	6	a	BL0224	China	-	2012	-	-	false	Homo sapiens	-
KF926930	6	a	BL0087	China	-	2012	-	-	false	Homo sapiens	-
KF926931	6	a	BL0067	China	-	2012	-	-	false	Homo sapiens	-
KF926932	6	a	BL0060	China	-	2012	-	-	false	Homo sapiens	-
KF926933	6	a	BL0245	China	-	2012	-	-	false	Homo sapiens	-
KF926934	6	a	BL0134	China	-	2012	-	-	false	Homo sapiens	-
KF926935	6	a	BL0026	China	-	2012	-	-	false	Homo sapiens	-
KF926936	6	a	BL0120	China	-	2012	-	-	false	Homo sapiens	-
KF926937	6	a	BL0268	China	-	2012	-	-	false	Homo sapiens	-
KF926938	6	a	BL0185	China	-	2012	-	-	false	Homo sapiens	-
KF926939	6	a	BL0251	China	-	2012	-	-	false	Homo sapiens	-
KF926940	6	a	BL0277	China	-	2012	-	-	false	Homo sapiens	-
KF926941	6	a	BL0267	China	-	2012	-	-	false	Homo sapiens	-
KF926959	6	a	BL0141	China	-	2012	-	-	false	Homo sapiens	-
KJ024844	6	a	07GFC0352	China	-	2007	-	-	false	Homo sapiens	-
KJ024845	6	a	09GFC0378	China	-	2009	-	-	false	Homo sapiens	-
KJ024847	6	a	08GFC0295	China	-	2008	-	-	false	Homo sapiens	-
KJ024849	6	a	09GFC0008	China	-	2009	-	-	false	Homo sapiens	-
KJ024850	6	a	12GFC0413	China	-	2012	-	-	false	Homo sapiens	-
KJ024851	6	a	09GFC0703	China	-	2009	-	-	false	Homo sapiens	-
KJ024852	6	a	07GFC0435	China	-	2007	-	-	false	Homo sapiens	-
KJ024854	6	a	08GFC0291	China	-	2008	-	-	false	Homo sapiens	-
KJ024856	6	a	09GFC0375	China	-	2009	-	-	false	Homo sapiens	-
KJ024857	6	a	08GFC0294	China	-	2008	-	-	false	Homo sapiens	-
KJ024858	6	a	10GFC1093	China	-	2010	-	-	false	Homo sapiens	-
KJ024859	6	a	10GFC0121	China	-	2010	-	-	false	Homo sapiens	-
KJ024860	6	a	10GFC1096	China	-	2010	-	-	false	Homo sapiens	-
KJ024861	6	a	09GFC0020	China	-	2009	-	-	false	Homo sapiens	-
KJ024862	6	a	10GFC1104	China	-	2010	-	-	false	Homo sapiens	-
KJ024863	6	a	08GFC0305	China	-	2008	-	-	false	Homo sapiens	-
KJ024864	6	a	10GFC1101	China	-	2010	-	-	false	Homo sapiens	-
KJ024865	6	a	09GFC0702	China	-	2009	-	-	false	Homo sapiens	-
KJ024866	6	a	08GFC0286	China	-	2008	-	-	false	Homo sapiens	-
KJ024867	6	a	10GFC0672	China	-	2010	-	-	false	Homo sapiens	-
KJ024868	6	a	10GFC0094	China	-	2010	-	-	false	Homo sapiens	-
KJ024869	6	a	10GFC0680	China	-	2010	-	-	false	Homo sapiens	-
KJ024876	6	a	08GFC0290	China	-	2008	-	-	false	Homo sapiens	-
KJ024888	6	a	07GFC0350	China	-	2007	-	-	false	Homo sapiens	-
KJ024889	6	a	09GFC0019	China	-	2009	-	-	false	Homo sapiens	-
KJ024931	6	a	10GFC0681	China	-	2010	-	-	false	Homo sapiens	-
KJ024932	6	a	10GFC1092	China	-	2010	-	-	false	Homo sapiens	-
KJ024933	6	a	10GFC1103	China	-	2010	-	-	false	Homo sapiens	-
KJ024934	6	a	12GFC0421	China	-	2012	-	-	false	Homo sapiens	-
KJ024936	6	a	10GFC0687	China	-	2010	-	-	false	Homo sapiens	-
KJ024937	6	a	10GFC0251	China	-	2010	-	-	false	Homo sapiens	-
KJ024938	6	a	07GFC0326	China	-	2007	-	-	false	Homo sapiens	-
KJ024939	6	a	09GFC0377	China	-	2009	-	-	false	Homo sapiens	-
KJ024940	6	a	08GFC0285	China	-	2008	-	-	false	Homo sapiens	-
KJ024941	6	a	07GFC0330	China	-	2007	-	-	false	Homo sapiens	-
KJ024942	6	a	12GFC0423	China	-	2012	-	-	false	Homo sapiens	-
KJ024943	6	a	08GFC0303	China	-	2008	-	-	false	Homo sapiens	-
KJ024944	6	a	09GFC1266	China	-	2009	-	-	false	Homo sapiens	-
KJ024945	6	a	09GFC0379	China	-	2009	-	-	false	Homo sapiens	-
KJ024946	6	a	07GFC0434	China	-	2007	-	-	false	Homo sapiens	-
KJ024947	6	a	10GFC0678	China	-	2010	-	-	false	Homo sapiens	-
KJ024948	6	a	12GFC0401	China	-	2012	-	-	false	Homo sapiens	-
KJ024949	6	a	10GFC0253	China	-	2010	-	-	false	Homo sapiens	-
KJ024950	6	a	09GFC1265	China	-	2009	-	-	false	Homo sapiens	-
KJ024951	6	a	09GFC0022	China	-	2009	-	-	false	Homo sapiens	-
KJ024952	6	a	10GFC1095	China	-	2010	-	-	false	Homo sapiens	-
KJ024953	6	a	08GFC0699	China	-	2008	-	-	false	Homo sapiens	-
KJ024954	6	a	08GFC0287	China	-	2008	-	-	false	Homo sapiens	-
KJ024955	6	a	08GFC0300	China	-	2008	-	-	false	Homo sapiens	-
KJ024956	6	a	10GFC0679	China	-	2010	-	-	false	Homo sapiens	-
KJ024957	6	a	10GFC0675	China	-	2010	-	-	false	Homo sapiens	-
KJ024958	6	a	10GFC1100	China	-	2010	-	-	false	Homo sapiens	-
KJ024959	6	a	07GFC0353	China	-	2007	-	-	false	Homo sapiens	-
KJ024960	6	a	08GFC0296	China	-	2008	-	-	false	Homo sapiens	-
KJ024961	6	a	08GFC0301	China	-	2008	-	-	false	Homo sapiens	-
KJ024962	6	a	09GFC1163	China	-	2009	-	-	false	Homo sapiens	-
KJ024963	6	a	07GFC0351	China	-	2007	-	-	false	Homo sapiens	-
KJ024964	6	a	07GFC0302_2_	China	-	2007	-	-	false	Homo sapiens	-
KJ024965	6	a	07GFC0302	China	-	2007	-	-	false	Homo sapiens	-
KJ024966	6	a	10GFC0247	China	-	2010	-	-	false	Homo sapiens	-
KJ470377	6	p	TV462	Vietnam	-	-	-	-	false	-	25193655
KJ470378	6	a	TV463	Vietnam	-	-	-	-	false	-	25193655
KJ470384	6	a	TV470	Vietnam	-	-	-	-	false	-	25193655
KJ470386	6	a	TV472	Vietnam	-	-	-	-	false	-	25193655
KJ470388	6	e	TV474	Vietnam	-	-	-	-	false	-	25193655
KJ470389	6	a	TV475	Vietnam	-	-	-	-	false	-	25193655
KJ470390	6	xb	TV476	Vietnam	-	-	-	-	false	-	25193655
KJ470391	6	a	TV477	Vietnam	-	-	-	-	false	-	25193655
KJ470393	6	u	TV480	Vietnam	-	-	-	-	false	-	25193655
KJ470396	6	e	TV483	Vietnam	-	-	-	-	false	-	25193655
KJ470399	6	a	TV487	Vietnam	-	-	-	-	false	-	25193655
KJ470400	6	xc	TV488	Vietnam	-	-	-	-	false	-	25193655
KJ470402	6	a	TV491	Vietnam	-	-	-	-	false	-	25193655
KJ470403	6	e	TV493	Vietnam	-	-	-	-	false	-	25193655
KJ470404	6	e	TV497	Vietnam	-	-	-	-	false	-	25193655
KJ470405	6	e	TV498	Vietnam	-	-	-	-	false	-	25193655
KJ470409	6	e	TV503	Vietnam	-	-	-	-	false	-	25193655
KJ470412	6	e	TV507	Vietnam	-	-	-	-	false	-	25193655
KJ470418	6	e	TV513	Vietnam	-	-	-	-	false	-	25193655
KJ470420	6	u	TV515	Vietnam	-	-	-	-	false	-	25193655
KJ470422	6	a	TV517	Vietnam	-	-	-	-	false	-	25193655
KJ470424	6	p	TV519	Vietnam	-	-	-	-	false	-	25193655
KJ470425	6	xc	TV520	Vietnam	-	-	-	-	false	-	25193655
KJ470427	6	o	TV522	Vietnam	-	-	-	-	false	-	25193655
KJ470430	6	a	TV525	Vietnam	-	-	-	-	false	-	25193655
KJ470432	6	e	TV527	Vietnam	-	-	-	-	false	-	25193655
KJ470433	6	e	TV528	Vietnam	-	-	-	-	false	-	25193655
KJ470434	6	a	TV529	Vietnam	-	-	-	-	false	-	25193655
KJ470436	6	a	TV531	Vietnam	-	-	-	-	false	-	25193655
KJ470437	6	-	TV533	Vietnam	-	-	-	-	false	-	25193655
KJ470439	6	e	TV535	Vietnam	-	-	-	-	false	-	25193655
KJ470440	6	e	TV537	Vietnam	-	-	-	-	false	-	25193655
KJ470444	6	e	TV541	Vietnam	-	-	-	-	false	-	25193655
KJ470445	6	l	TV542	Vietnam	-	-	-	-	false	-	25193655
KJ470447	6	e	TV545	Vietnam	-	-	-	-	false	-	25193655
KJ470448	6	a	TV547	Vietnam	-	-	-	-	false	-	25193655
KJ470449	6	xc	TV548	Vietnam	-	-	-	-	false	-	25193655
KJ470452	6	a	TV551	Vietnam	-	-	-	-	false	-	25193655
KJ470453	6	e	TV552	Vietnam	-	-	-	-	false	-	25193655
KJ470454	6	e	TV553	Vietnam	-	-	-	-	false	-	25193655
KJ470455	6	u	TV554	Vietnam	-	-	-	-	false	-	25193655
KJ470458	6	e	TV557	Vietnam	-	-	-	-	false	-	25193655
KJ470460	6	a	TV559	Vietnam	-	-	-	-	false	-	25193655
KJ470461	6	e	TV560	Vietnam	-	-	-	-	false	-	25193655
KJ470464	6	a	TV563	Vietnam	-	-	-	-	false	-	25193655
KJ470465	6	a	TV564	Vietnam	-	-	-	-	false	-	25193655
KJ470466	6	e	TV565	Vietnam	-	-	-	-	false	-	25193655
KJ470467	6	xc	TV566	Vietnam	-	-	-	-	false	-	25193655
KJ470470	6	a	TV569	Vietnam	-	-	-	-	false	-	25193655
KJ470472	6	a	TV571	Vietnam	-	-	-	-	false	-	25193655
KJ470473	6	p	TV572	Vietnam	-	-	-	-	false	-	25193655
KJ470474	6	e	TV573	Vietnam	-	-	-	-	false	-	25193655
KJ470475	6	a	TV574	Vietnam	-	-	-	-	false	-	25193655
KJ470477	6	e	TV576	Vietnam	-	-	-	-	false	-	25193655
KJ470478	6	a	TV577	Vietnam	-	-	-	-	false	-	25193655
KJ470479	6	a	TV578	Vietnam	-	-	-	-	false	-	25193655
KJ470484	6	a	TV585	Vietnam	-	-	-	-	false	-	25193655
KJ470486	6	a	TV589	Vietnam	-	-	-	-	false	-	25193655
KJ470490	6	h	VN101	Vietnam	-	-	-	-	false	-	25193655
KJ470491	6	a	VN102	Vietnam	-	-	-	-	false	-	25193655
KJ470493	6	a	VN104	Vietnam	-	-	-	-	false	-	25193655
KJ470495	6	p	VN106	Vietnam	-	-	-	-	false	-	25193655
KJ470497	6	e	VN11	Vietnam	-	-	-	-	false	-	25193655
KJ470498	6	xb	VN110	Vietnam	-	-	-	-	false	-	25193655
KJ470499	6	a	VN113	Vietnam	-	-	-	-	false	-	25193655
KJ470501	6	a	VN117	Vietnam	-	-	-	-	false	-	25193655
KJ470503	6	a	VN119	Vietnam	-	-	-	-	false	-	25193655
KJ470504	6	e	VN121	Vietnam	-	-	-	-	false	-	25193655
KJ470505	6	o	VN124	Vietnam	-	-	-	-	false	-	25193655
KJ470507	6	a	VN126	Vietnam	-	-	-	-	false	-	25193655
KJ470508	6	e	VN127	Vietnam	-	-	-	-	false	-	25193655
KJ470513	6	l	VN135	Vietnam	-	-	-	-	false	-	25193655
KJ470514	6	-	VN139	Vietnam	-	-	-	-	false	-	25193655
KJ470515	6	a	VN14	Vietnam	-	-	-	-	false	-	25193655
KJ470517	6	e	VN144	Vietnam	-	-	-	-	false	-	25193655
KJ470518	6	e	VN146	Vietnam	-	-	-	-	false	-	25193655
KJ470520	6	e	VN151	Vietnam	-	-	-	-	false	-	25193655
KJ470521	6	p	VN153	Vietnam	-	-	-	-	false	-	25193655
KJ470523	6	a	VN158	Vietnam	-	-	-	-	false	-	25193655
KJ470527	6	o	VN166	Vietnam	-	-	-	-	false	-	25193655
KJ470529	6	a	VN178	Vietnam	-	-	-	-	false	-	25193655
KJ470533	6	e	VN188	Vietnam	-	-	-	-	false	-	25193655
KJ470534	6	e	VN190	Vietnam	-	-	-	-	false	-	25193655
KJ470536	6	e	VN193	Vietnam	-	-	-	-	false	-	25193655
KJ470537	6	e	VN194	Vietnam	-	-	-	-	false	-	25193655
KJ470539	6	l	VN196	Vietnam	-	-	-	-	false	-	25193655
KJ470540	6	a	VN197	Vietnam	-	-	-	-	false	-	25193655
KJ470541	6	a	VN198	Vietnam	-	-	-	-	false	-	25193655
KJ470543	6	e	VN2	Vietnam	-	-	-	-	false	-	25193655
KJ470546	6	e	VN201	Vietnam	-	-	-	-	false	-	25193655
KJ470548	6	e	VN207	Vietnam	-	-	-	-	false	-	25193655
KJ470552	6	e	VN213	Vietnam	-	-	-	-	false	-	25193655
KJ470553	6	-	VN214	Vietnam	-	-	-	-	false	-	25193655
KJ470554	6	a	VN215	Vietnam	-	-	-	-	false	-	25193655
KJ470558	6	h	VN224	Vietnam	-	-	-	-	false	-	25193655
KJ470563	6	e	VN236	Vietnam	-	-	-	-	false	-	25193655
KJ470564	6	a	VN240	Vietnam	-	-	-	-	false	-	25193655
KJ470565	6	a	VN242	Vietnam	-	-	-	-	false	-	25193655
KJ470566	6	a	VN243	Vietnam	-	-	-	-	false	-	25193655
KJ470567	6	a	VN245	Vietnam	-	-	-	-	false	-	25193655
KJ470571	6	a	VN25	Vietnam	-	-	-	-	false	-	25193655
KJ470572	6	a	VN253	Vietnam	-	-	-	-	false	-	25193655
KJ470573	6	a	VN254	Vietnam	-	-	-	-	false	-	25193655
KJ470580	6	e	VN278	Vietnam	-	-	-	-	false	-	25193655
KJ470581	6	a	VN279	Vietnam	-	-	-	-	false	-	25193655
KJ470582	6	e	VN281	Vietnam	-	-	-	-	false	-	25193655
KJ470583	6	a	VN282	Vietnam	-	-	-	-	false	-	25193655
KJ470584	6	e	VN284	Vietnam	-	-	-	-	false	-	25193655
KJ470585	6	a	VN285	Vietnam	-	-	-	-	false	-	25193655
KJ470588	6	a	VN36	Vietnam	-	-	-	-	false	-	25193655
KJ470591	6	a	VN39	Vietnam	-	-	-	-	false	-	25193655
KJ470592	6	l	VN4	Vietnam	-	-	-	-	false	-	25193655
KJ470594	6	p	VN44	Vietnam	-	-	-	-	false	-	25193655
KJ470596	6	o	VN47	Vietnam	-	-	-	-	false	-	25193655
