sequenceID	genotype	subtype	gb_isolate	gb_country_short_missing	gb_place_sampled_missing	gb_collection_year_missing	gb_collection_month_missing	gb_lab_construct_missing	gb_host_missing	gb_pubmed_id_missing	alternative_reference_url	Email of author
KJ470601					Ho Chi Minh City				Homo sapians			
KJ470604					Ho Chi Minh City				Homo sapians			
KJ470605					Ho Chi Minh City				Homo sapians			
KJ470606					Ho Chi Minh City				Homo sapians			
KJ470608					Ho Chi Minh City				Homo sapians			
KJ470609					Ho Chi Minh City				Homo sapians			
KJ470610					Ho Chi Minh City				Homo sapians			
KJ470611					Ho Chi Minh City				Homo sapians			
KJ470620									Homo sapians			
KJ470621									Homo sapians			
KJ470622									Homo sapians			
KJ470623									Homo sapians			
KJ470624									Homo sapians			
KJ470625									Homo sapians			
KJ567644					Ho Chi Minh City							
KJ567645					Ho Chi Minh City							
KJ567649					Ho Chi Minh City							
KJ567650					Ho Chi Minh City							
KJ567651					Ho Chi Minh City							
KJ567652					Ho Chi Minh City							
KJ678425										26343863		
KJ678426										26343863		
KJ678427										26343863		
KJ678428										26343863		
KJ678429										26343863		
KJ678430										26343863		
KJ678431										26343863		
KJ678432										26343863		
KJ678433										26343863		
KJ678434										26343863		
KJ678435										26343863		
KJ678436										26343863		
KJ678437										26343863		
KJ678438										26343863		
KJ678439										26343863		
KJ678440										26343863		
KJ678441										26343863		
KJ678442										26343863		
KJ678443										26343863		
KJ678444										26343863		
KJ678445										26343863		
KJ678446										26343863		
KJ678447										26343863		
KJ678448										26343863		
KJ678449										26343863		
KJ678450										26343863		
KJ678451										26343863		
KJ678452										26343863		
KJ678453										26343863		
KJ678454										26343863		
KJ678455										26343863		
KJ678456										26343863		
KJ678457										26343863		
KJ678458										26343863		
KJ678459										26343863		
KJ678460										26343863		
KJ678461										26343863		
KJ678462										26343863		
KJ678463										26343863		
KJ678464										26343863		
KJ678465										26343863		
KJ678466										26343863		
KJ678467										26343863		
KJ678468										26343863		
KJ678469										26343863		
KJ678470										26343863		
KJ678471										26343863		
KJ678472										26343863		
KJ678473										26343863		
KJ678474										26343863		
KJ678475										26343863		
KJ678476										26343863		
KJ678477										26343863		
KJ678478										26343863		
KJ678479					Zijin county,Guangdong province	2012				26343863		
KJ678480					Zijin county,Guangdong province	2012				26343863		
KJ678481					Zijin county,Guangdong province	2012				26343863		
KJ678482					Zijin county,Guangdong province	2012				26343863		
KJ678483					Zijin county,Guangdong province	2012				26343863		
KJ678484					Zijin county,Guangdong province	2012				26343863		
KJ678485					Zijin county,Guangdong province	2012				26343863		
KJ678486					Zijin county,Guangdong province	2012				26343863		
KJ678487					Zijin county,Guangdong province	2012				26343863		
KJ678488					Zijin county,Guangdong province	2012				26343863		
KJ678489					Zijin county,Guangdong province	2012				26343863		
KJ678490					Zijin county,Guangdong province	2012				26343863		
KJ678491					Zijin county,Guangdong province	2012				26343863		
KJ678492					Zijin county,Guangdong province	2012				26343863		
KJ678493					Zijin county,Guangdong province	2012				26343863		
KJ678494					Zijin county,Guangdong province	2012				26343863		
KJ678495					Zijin county,Guangdong province	2012				26343863		
KJ678496					Zijin county,Guangdong province	2012				26343863		
KJ678497					Zijin county,Guangdong province	2012				26343863		
KJ678498					Zijin county,Guangdong province	2012				26343863		
KJ678499					Zijin county,Guangdong province	2012				26343863		
KJ678500					Zijin county,Guangdong province	2012				26343863		
KJ678501					Zijin county,Guangdong province	2012				26343863		
KJ678502					Zijin county,Guangdong province	2012				26343863		
KJ678503					Zijin county,Guangdong province	2012				26343863		
KJ678504					Zijin county,Guangdong province	2012				26343863		
KJ678505					Zijin county,Guangdong province	2012				26343863		
KJ678506					Zijin county,Guangdong province	2012				26343863		
KJ678507					Zijin county,Guangdong province	2012				26343863		
KJ678508					Zijin county,Guangdong province	2012				26343863		
KJ678509					Zijin county,Guangdong province	2012				26343863		
KJ678510					Zijin county,Guangdong province	2012				26343863		
KJ678511					Zijin county,Guangdong province	2012				26343863		
KJ678512					Zijin county,Guangdong province	2012				26343863		
KJ678513					Zijin county,Guangdong province	2012				26343863		
KJ678514					Zijin county,Guangdong province	2012				26343863		
KJ678515					Zijin county,Guangdong province	2012				26343863		
KJ678516					Zijin county,Guangdong province	2012				26343863		
KJ678517					Zijin county,Guangdong province	2012				26343863		
KJ678518					Zijin county,Guangdong province	2012				26343863		
KJ678519					Zijin county,Guangdong province	2012				26343863		
KJ678520					Zijin county,Guangdong province	2012				26343863		
KJ678521					Zijin county,Guangdong province	2012				26343863		
KJ678522					Zijin county,Guangdong province	2012				26343863		
KJ678523					Zijin county,Guangdong province	2012				26343863		
KJ678524					Zijin county,Guangdong province	2012				26343863		
KJ678525					Zijin county,Guangdong province	2012				26343863		
KJ678526					Zijin county,Guangdong province	2012				26343863		
KJ678527					Zijin county,Guangdong province	2012				26343863		
KJ678528					Zijin county,Guangdong province	2012				26343863		
KJ678529					Zijin county,Guangdong province	2012				26343863		
KJ678530					Zijin county,Guangdong province	2012				26343863		
KJ678531					Zijin county,Guangdong province	2012				26343863		
KJ678532					Zijin county,Guangdong province	2012				26343863		
KJ678533					Zijin county,Guangdong province	2012				26343863		
KJ678534					Zijin county,Guangdong province	2012				26343863		
KJ678535					Zijin county,Guangdong province	2012				26343863		
KJ678536					Zijin county,Guangdong province	2012				26343863		
KJ678537					Zijin county,Guangdong province	2012				26343863		
KJ678538					Zijin county,Guangdong province	2012				26343863		
KJ678539					Zijin county,Guangdong province	2012				26343863		
KJ678540					Zijin county,Guangdong province	2012				26343863		
KJ678541					Zijin county,Guangdong province	2012				26343863		
KJ678542					Zijin county,Guangdong province	2012				26343863		
KJ678543					Zijin county,Guangdong province	2012				26343863		
KJ678544					Zijin county,Guangdong province	2012				26343863		
KJ678545					Zijin county,Guangdong province	2012				26343863		
KJ678546					Zijin county,Guangdong province	2012				26343863		
KJ678547					Zijin county,Guangdong province	2012				26343863		
KJ678548					Zijin county,Guangdong province	2012				26343863		
KJ678549					Zijin county,Guangdong province	2012				26343863		
KJ678550					Zijin county,Guangdong province	2012				26343863		
KJ678551					Zijin county,Guangdong province	2012				26343863		
KJ678552					Zijin county,Guangdong province	2012				26343863		
KJ678553					Zijin county,Guangdong province	2012				26343863		
KJ678554					Zijin county,Guangdong province	2012				26343863		
KJ678555					Zijin county,Guangdong province	2012				26343863		
KJ678556					Zijin county,Guangdong province	2012				26343863		
KJ678557					Zijin county,Guangdong province	2012				26343863		
KJ678558					Zijin county,Guangdong province	2012				26343863		
KJ678559					Zijin county,Guangdong province	2012				26343863		
KJ678560					Zijin county,Guangdong province	2012				26343863		
KJ678561					Zijin county,Guangdong province	2012				26343863		
KJ678562					Zijin county,Guangdong province	2012				26343863		
KJ678563					Zijin county,Guangdong province	2012				26343863		
KJ678564					Zijin county,Guangdong province	2012				26343863		
KJ678565					Zijin county,Guangdong province	2012				26343863		
KJ678566					Zijin county,Guangdong province	2012				26343863		
KJ678567					Zijin county,Guangdong province	2012				26343863		
KJ678568					Zijin county,Guangdong province	2012				26343863		
KJ678569					Zijin county,Guangdong province	2012				26343863		
KJ678570					Zijin county,Guangdong province	2012				26343863		
KJ678571					Zijin county,Guangdong province	2012				26343863		
KJ678572					Zijin county,Guangdong province	2012				26343863		
KJ678573					Zijin county,Guangdong province	2012				26343863		
KJ678574					Zijin county,Guangdong province	2012				26343863		
KJ678575					Zijin county,Guangdong province	2012				26343863		
KJ678576					Zijin county,Guangdong province	2012				26343863		
KJ678577					Zijin county,Guangdong province	2012				26343863		
KJ678578					Zijin county,Guangdong province	2012				26343863		
KJ678579										26343863		
KJ678580										26343863		
KJ678581										26343863		
KJ678582										26343863		
KJ678583										26343863		
KJ678584										26343863		
KJ678585										26343863		
KJ678586										26343863		
KJ678587										26343863		
KJ678588										26343863		
KJ678589										26343863		
KJ678590										26343863		
KJ678591										26343863		
KJ678592										26343863		
KJ678593										26343863		
KJ678594										26343863		
KJ678595										26343863		
KJ678596										26343863		
KJ678597										26343863		
KJ678598										26343863		
KJ678599										26343863		
KJ678600										26343863		
KJ678601										26343863		
KJ678602										26343863		
KJ678603										26343863		
KJ678604										26343863		
KJ678605										26343863		
KJ678606										26343863		
KJ678607										26343863		
KJ678608										26343863		
KJ678609										26343863		
KJ678610										26343863		
KJ678611										26343863		
KJ678612										26343863		
KJ678613										26343863		
KJ678614										26343863		
KJ678615										26343863		
KJ678616										26343863		
KJ678617										26343863		
KJ678618										26343863		
KJ678619										26343863		
KJ678620										26343863		
KJ678621										26343863		
KJ678622										26343863		
KJ678623										26343863		
KJ678624										26343863		
KJ678625										26343863		
KJ678626										26343863		
KJ678627										26343863		
KJ678628										26343863		
KJ678629										26343863		
KJ678630										26343863		
KJ678631										26343863		
KJ678632										26343863		
KJ678633						2012				26343863		
KJ678634						2012				26343863		
KJ678635						2012				26343863		
KJ678636						2012				26343863		
KJ678637						2012				26343863		
KJ678638						2012				26343863		
KJ678639						2012				26343863		
KJ678640						2012				26343863		
KJ678641						2012				26343863		
KJ678642						2012				26343863		
KJ678643						2012				26343863		
KJ678644						2012				26343863		
KJ678645						2012				26343863		
KJ678646						2012				26343863		
KJ678647						2012				26343863		
KJ678648						2012				26343863		
KJ678649						2012				26343863		
KJ678650						2012				26343863		
KJ678651						2012				26343863		
KJ678652						2012				26343863		
KJ678653						2012				26343863		
KJ678654						2012				26343863		
KJ678655						2012				26343863		
KJ678656						2012				26343863		
KJ678657						2012				26343863		
KJ678658						2012				26343863		
KJ678659						2012				26343863		
KJ678660						2012				26343863		
KJ678661						2012				26343863		
KJ678662						2012				26343863		
KJ678663						2012				26343863		
KJ678664						2012				26343863		
KJ678665						2012				26343863		
KJ678666						2012				26343863		
KJ678667						2012				26343863		
KJ678668						2012				26343863		
KJ678669						2012				26343863		
KJ678670						2012				26343863		
KJ678671						2012				26343863		
KJ678672						2012				26343863		
KJ678673						2012				26343863		
KJ678674						2012				26343863		
KJ678675						2012				26343863		
KJ678676						2012				26343863		
KJ678677						2012				26343863		
KJ678678						2012				26343863		
KJ678679						2012				26343863		
KJ678680						2012				26343863		
KJ678681						2012				26343863		
KJ678682						2012				26343863		
KJ678683						2012				26343863		
KJ678684						2012				26343863		
KJ678685						2012				26343863		
KJ678686						2012				26343863		
KJ678687						2012				26343863		
KJ678688						2012				26343863		
KJ678689						2012				26343863		
KJ678690						2012				26343863		
KJ678691						2012				26343863		
KJ678692						2012				26343863		
KJ678693						2012				26343863		
KJ678694						2012				26343863		
KJ678695						2012				26343863		
KJ678696						2012				26343863		
KJ678697						2012				26343863		
KJ678698						2012				26343863		
KJ678699						2012				26343863		
KJ678700						2012				26343863		
KJ678701						2012				26343863		
KJ678702						2012				26343863		
KJ678703						2012				26343863		
KJ678704						2012				26343863		
KJ678705						2012				26343863		
KJ678706						2012				26343863		
KJ678707						2012				26343863		
KJ678708						2012				26343863		
KJ678709						2012				26343863		
KJ678710						2012				26343863		
KJ678711						2012				26343863		
KJ678712						2012				26343863		
KJ678713						2012				26343863		
KJ678714						2012				26343863		
KJ678715						2012				26343863		
KJ678716						2012				26343863		
KJ678717						2012				26343863		
KJ678718						2012				26343863		
KJ678719						2012				26343863		
KJ678720						2012				26343863		
KJ678721						2012				26343863		
KJ678722						2012				26343863		
KJ678723						2012				26343863		
KJ678724						2012				26343863		
KJ678725						2012				26343863		
KJ678726						2012				26343863		
KJ678727						2012				26343863		
KJ678728						2012				26343863		
KJ678729						2012				26343863		
KJ678730						2012				26343863		
KJ678731						2012				26343863		
KJ678732						2012				26343863		
KJ678740					Zijin county,Guangdong province	2012				26343863		
KJ678742					Zijin county,Guangdong province	2012				26343863		
KJ678743					Zijin county,Guangdong province	2012				26343863		
KJ678744					Zijin county,Guangdong province	2012				26343863		
KJ678745					Zijin county,Guangdong province	2012				26343863		
KJ678746										26343863		
KJ678747										26343863		
KJ678748										26343863		
KJ678749										26343863		
KJ678750										26343863		
KJ678751										26343863		
KJ678752										26343863		
KJ678753										26343863		
KJ678754										26343863		
KJ678755										26343863		
KJ678756										26343863		
KJ678757										26343863		
KJ678758										26343863		
KJ678759										26343863		
KJ678760										26343863		
KJ678761										26343863		
KJ678762										26343863		
KJ678763										26343863		
KJ678764										26343863		
KJ678765										26343863		
KJ678766										26343863		
KJ678767										26343863		
KJ678768										26343863		
KJ678769										26343863		
KJ678770										26343863		
KJ678771										26343863		
KJ678772										26343863		
KJ678773										26343863		
KJ678774										26343863		
KJ678775										26343863		
KJ678776										26343863		
KJ678777										26343863		
KJ678778										26343863		
KJ678779										26343863		
KJ678780										26343863		
KJ678781										26343863		
KJ678782										26343863		
KJ678783										26343863		
KJ678784										26343863		
KJ678785										26343863		
KJ678786										26343863		
KJ678787										26343863		
KJ678788										26343863		
KJ678789										26343863		
KJ678790										26343863		
KJ678791										26343863		
KJ678792										26343863		
KJ678793										26343863		
KJ678794										26343863		
KJ678795										26343863		
KJ678796										26343863		
KJ678797										26343863		
KJ678798										26343863		
KJ678799										26343863		
KJ678800										26343863		
KJ678801										26343863		
KJ678802										26343863		
KJ678803										26343863		
KJ678804										26343863		
KJ678805										26343863		
KJ678806										26343863		
KJ678807										26343863		
KJ678808										26343863		
KJ678809										26343863		
KJ678810										26343863		
KJ678811										26343863		
KJ678812										26343863		
KJ678813										26343863		
KJ678814										26343863		
KJ678815										26343863		
KJ678816										26343863		
KJ678817										26343863		
KJ700856					Zijin county,Guangdong province	2012				26343863		
KJ700857					Zijin county,Guangdong province	2012				26343863		
KJ700858					Zijin county,Guangdong province	2012				26343863		
KJ700859					Zijin county,Guangdong province	2012				26343863		
KJ719455												
KM246371												
KM246372												
KM246373												
KM246374												
KM246391												
KM246392												
KM246393												
KM252779					HoChiMinhCity					add 25173194		
KM252780					HoChiMinhCity					add 25173194		
KM252781					HoChiMinhCity					add 25173194		
KM252782					HoChiMinhCity					add 25173194		
KM252783					HoChiMinhCity					add 25173194		
KM252784					HoChiMinhCity	1994				add  8151307 		
KM252785					HoChiMinhCity					add 25173194		
KM252786					HoChiMinhCity					add 25173194		
KM252787					HoChiMinhCity					add 25173194		
KM252788					HoChiMinhCity					add 25173194		
KM252789					Vientiane City					add 20378138,1891729		
KM252790					Vientiane City					add 20378138,1891729		
KM252791					Vientiane City					add 20378138,1891729		
KM252792					Yunnan					add 24719413		
KM252793					Vientiane City					add 20378138,1891729		
KM252794					Vientiane City					add 20378138,1891729		
KM252795					Vientiane City					add 20378138,1891729		
KM252796					Vientiane City					add 20378138,1891729		
KM252797					Vientiane City					add 20378138,1891729		
KM252799					Vientiane City					add 20378138,1891729		
KM252800					Vientiane City					add 20378138,1891729		
KM284925										27657722		
KM284926										27657722		
KM284927										27657722		
KM284928										27657722		
KM284929										27657722		
KM284930										27657722		
KM284931										27657722		
KM284932										27657722		
KM284933										27657722		
KM284934										27657722		
KM284935										27657722		
KM284936										27657722		
KM284937										27657722		
KM284938										27657722		
KM284939										27657722		
KM284940										27657722		
KM284941										27657722		
KM284942										27657722		
KM284943										27657722		
KM284944										27657722		
KM284945										27657722		
KM284946										27657722		
KM284947										27657722		
KM284948										27657722		
KM284949										27657722		
KM284950										27657722		
KM284951										27657722		
KM284952										27657722		
KM284953										27657722		
KM284954										27657722		
KM284955										27657722		
KM284956										27657722		
KM284957										27657722		
KM284958										27657722		
KM284959										27657722		
KM284960										27657722		
KM284961										27657722		
KM284962										27657722		
KM284963										27657722		
KM284964										27657722		
KM284965										27657722		
KM284966										27657722		
KM284967										27657722		
KM284968										27657722		
KM284969										27657722		
KM284970										27657722		
KM284971										27657722		
KM284972										27657722		
KM284973										27657722		
KM284974										27657722		
KM284975										27657722		
KM284976										27657722		
KM284977										27657722		
KM285079										27657722		
KM285080										27657722		
KM285081										27657722		
KM285082										27657722		
KM285083										27657722		
KM285084										27657722		
KM285085										27657722		
KM285086										27657722		
KM285087										27657722		
KM285088										27657722		
KM285089										27657722		
KM285090										27657722		
KM285091										27657722		
KM285092										27657722		
KM285093										27657722		
KM285094										27657722		
KM285095										27657722		
KM285096										27657722		
KM285097										27657722		
KM285098										27657722		
KM285099										27657722		
KM285100										27657722		
KM285101										27657722		
KM285102										27657722		
KM285103										27657722		
KM285104										27657722		
KM285105										27657722		
KM285106										27657722		
KM285107										27657722		
KM285108										27657722		
KM285109										27657722		
KM285110										27657722		
KM285111										27657722		
KM285112										27657722		
KM285113										27657722		
KM285114										27657722		
KM285115										27657722		
KM285116										27657722		
KM285117										27657722		
KM285118										27657722		
KM285119										27657722		
KM285120										27657722		
KM285121										27657722		
KM285122										27657722		
KM285123										27657722		
KM285124										27657722		
KM504106				united states								
KM504107				united states								
KM504108				united states								
KM504109				united states								
KM504110												
KM504111				Canada	Quebec							
KM504113				Canada	Quebec							
KM504114				Canada	Quebec							
KM504115				Canada	Quebec							
KM504116				Canada	Quebec							
KM504117					Quebec							
KM504119				Canada	Quebec							
KM504120				Canada	Quebec							
KM504121				Canada	Quebec							
KM504122				Canada	Quebec							
KM504123				Canada	Quebec							
KM504124				Canada	Quebec							
KM587627												
KM587628												
KM587629												
KM587630												
KM589435												
KM589436												
KM589437												
KM589438												
KM589439												
KM589440												
KM589441												
KM589442												
KM589443												
KM589444												
KM589445												
KM589446												
KM589447												
KM589448												
KM589449												
KM589450												
KM589451												
KM589452												
KP162370												
KP162384												
KP162569												
KP162619												
KP162623												
KP162631												
KP162848												
KP163010												
KP163019												
KR095342												
KR095343												
KR095344												
KR095345												
KR095346												
KR095347												
KR095348												
KR095349												
KR095350												
KR095351												
KR095352												
KR095353												
KR095354												
KR108496										26459957		
KR108497										26459957		
KR108622										26459957		
KR108623										26459957		
KT162591										27341031		
KT162592										27341031		
KT162593										27341031		
KT162594										27341031		
KT162595										27341031		
KT162596										27341031		
KT162597										27341031		
KT162598										27341031		
KT162599										27341031		
KT162600										27341031		
KT162601										27341031		
KT162602										27341031		
KT162603										27341031		
KT162604										27341031		
KT162605										27341031		
KT162606										27341031		
KT162607										27341031		
KT162608										27341031		
KT162609										27341031		
KT162610										27341031		
KT162611										27341031		
KT162612										27341031		
KT162613										27341031		
KT162614										27341031		
KT162615										27341031		
KT162616										27341031		
KT162617										27341031		
KT162618										27341031		
KT162619										27341031		
KT162620										27341031		
KT162621										27341031		
KT162622										27341031		
KT162623										27341031		
KT162624										27341031		
KT162625										27341031		
KT162626										27341031		
KT162627										27341031		
KT162628										27341031		
KT162629										27341031		
KT162630										27341031		
KT162631										27341031		
KT162632										27341031		
KT162633										27341031		
KT162634										27341031		
KT162635										27341031		
KT162636										27341031		
KT162637										27341031		
KT162638										27341031		
KT162639										27341031		
KT162640										27341031		
KT162641										27341031		
KT162642										27341031		
KT162643										27341031		
KT162644										27341031		
KT162645										27341031		
KT162646										27341031		
KT162647										27341031		
KT162648										27341031		
KT162649										27341031		
KT162650										27341031		
KT162651										27341031		
KT162652										27341031		
KT162653										27341031		
KT162654										27341031		
KT162655										27341031		
KT162656										27341031		
KT162657										27341031		
KT162658										27341031		
KT162659										27341031		
KT162660										27341031		
KT162661										27341031		
KT162662										27341031		
KT162663										27341031		
KT162664										27341031		
KT162665										27341031		
KT162666										27341031		
KT162667										27341031		
KT162668										27341031		
KT162669										27341031		
KT162670										27341031		
KT162671										27341031		
KT162672										27341031		
KT162673										27341031		
KT162674										27341031		
KT162675										27341031		
KT162676										27341031		
KT162677										27341031		
KT162678										27341031		
KT162679										27341031		
KT162680										27341031		
KT162681										27341031		
KT162682										27341031		
KT162683										27341031		
KT162684										27341031		
KT162685										27341031		
KT162686										27341031		
KT162687										27341031		
KT162688										27341031		
KT162689										27341031		
KT162690										27341031		
KT162691										27341031		
KT162692										27341031		
KT162693										27341031		
KT162694										27341031		
KT162695										27341031		
KT162696										27341031		
KT162697										27341031		
KT162698										27341031		
KT162699										27341031		
KT162700										27341031		
KT162701										27341031		
KT162702										27341031		
KT162703										27341031		
KT162704										27341031		
KT162705										27341031		
KT162706										27341031		
KT162707										27341031		
KT162708										27341031		
KT162709										27341031		
KT162710										27341031		
KT162711										27341031		
KT162712										27341031		
KT162713										27341031		
KT162714										27341031		
KT162715										27341031		
KT162716										27341031		
KT162717										27341031		
KT162718										27341031		
KT162719										27341031		
KT162720										27341031		
KT162721										27341031		
KT162722										27341031		
KT162723										27341031		
KT162724										27341031		
KT162725										27341031		
KT162726										27341031		
KT162727										27341031		
KT162728										27341031		
KT162729										27341031		
KT162730										27341031		
KT162731										27341031		
KT162732										27341031		
KT162733										27341031		
KT162734										27341031		
KT162735										27341031		
KT162736										27341031		
KT162737										27341031		
KT162738										27341031		
KT162739										27341031		
KT162740										27341031		
KT162741										27341031		
KT162742										27341031		
KT162743										27341031		
KT162744										27341031		
KT162745										27341031		
KT162746										27341031		
KT162747										27341031		
KT162748										27341031		
KT162749										27341031		
KT162750										27341031		
KT162751										27341031		
KT162752										27341031		
KT162753										27341031		
KT162754										27341031		
KT162755										27341031		
KT162756										27341031		
KT162757										27341031		
KT162758										27341031		
KT162759										27341031		
KT162760										27341031		
KT162761										27341031		
KT162762										27341031		
KT162763										27341031		
KT162764										27341031		
KT162765										27341031		
KT162766										27341031		
KT162767										27341031		
KT162768										27341031		
KT162769										27341031		
KT162770										27341031		
KT162771										27341031		
KT162772										27341031		
KT162773										27341031		
KT162774										27341031		
KT162775										27341031		
KT162776										27341031		
KT162777										27341031		
KT162778										27341031		
KT162779										27341031		
KT162780										27341031		
KT162781										27341031		
KT162782										27341031		
KT162783										27341031		
KT162784										27341031		
KT162785										27341031		
KT162786										27341031		
KT162787										27341031		
KT162788										27341031		
KT162789										27341031		
KT162790										27341031		
KT162791										27341031		
KT162792										27341031		
KT162793										27341031		
KT162794										27341031		
KT162795										27341031		
KT162796										27341031		
KT162797										27341031		
KT162798										27341031		
KT162799										27341031		
KT162800										27341031		
KT162801										27341031		
KT162802										27341031		
KT162803										27341031		
KT162804										27341031		
KT162805										27341031		
KT162806										27341031		
KT162807										27341031		
KT162808										27341031		
KT162809										27341031		
KT162810										27341031		
KT162811										27341031		
KT162812										27341031		
KT162813										27341031		
KT162814										27341031		
KT162815										27341031		
KT162816										27341031		
KT162817										27341031		
KT162818										27341031		
KT162819										27341031		
KT162820										27341031		
KT162821										27341031		
KT162822										27341031		
KT162823										27341031		
KT162824										27341031		
KT162825										27341031		
KT162826										27341031		
KT162827										27341031		
KT162828										27341031		
KT162829										27341031		
KT162830										27341031		
KT162831										27341031		
KT162832										27341031		
KT162833										27341031		
KT162834										27341031		
KT162835										27341031		
KT162836										27341031		
KT162837										27341031		
KT162838										27341031		
KT162839										27341031		
KT162840										27341031		
KT162841										27341031		
KT162842										27341031		
KT162843										27341031		
KT162844										27341031		
KT162845										27341031		
KT162846										27341031		
KT162847										27341031		
KT162848										27341031		
KT162849										27341031		
KT162850										27341031		
KT162851										27341031		
KT162852										27341031		
KT162853										27341031		
KT162854										27341031		
KT162855										27341031		
KT162856										27341031		
KT162857										27341031		
KT162858										27341031		
KT162859										27341031		
KT162860										27341031		
KT162861										27341031		
KT162862										27341031		
KT162863										27341031		
KT162864										27341031		
KT162865										27341031		
KT162866										27341031		
KT162867										27341031		
KT162868										27341031		
KT162869										27341031		
KT162870										27341031		
KT162871										27341031		
KT162872										27341031		
KT162873										27341031		
KT162874										27341031		
KT162875										27341031		
KT162876										27341031		
KT162877										27341031		
KT162878										27341031		
KT162879										27341031		
KT162880										27341031		
KT162881										27341031		
KT162882										27341031		
KT162883										27341031		
KT162884										27341031		
KT162885										27341031		
KT162886										27341031		
KT162887										27341031		
KT162888										27341031		
KT162889										27341031		
KT162890										27341031		
KT162891										27341031		
KT162892										27341031		
KT162893										27341031		
KT162894										27341031		
KT162895										27341031		
KT162896										27341031		
KT162897										27341031		
KT162898										27341031		
KT162899										27341031		
KT162900										27341031		
KT162901										27341031		
KT162902										27341031		
KT162903										27341031		
KT162904										27341031		
KT162905										27341031		
KT162906										27341031		
KT162907										27341031		
KT162908										27341031		
KT162909										27341031		
KT162910										27341031		
KT162911										27341031		
KT162912										27341031		
KT162913										27341031		
KT162914										27341031		
KT162915										27341031		
KT190706												
KT190707												
KT233290												
KT233295												
KT233299												
KT233300												
KT735397					Dehong,Yunan Province							
KT735399					Dehong,Yunan Province							
KT735401					Dehong,Yunan Province							
KT735402					Dehong,Yunan Province							
KT735405					Dehong,Yunan Province							
KT735406					Dehong,Yunan Province							
KT735411					Dehong,Yunan Province							
KT735417					Dehong,Yunan Province							
KT735422					Dehong,Yunan Province							
KT735424					Dehong,Yunan Province							
KT735430					Dehong,Yunan Province							
KT735431					Dehong,Yunan Province							
KT735433					Dehong,Yunan Province							
KT735438					Dehong,Yunan Province							
KT735442					Dehong,Yunan Province							
KT735445					Dehong,Yunan Province							
KT735447					Dehong,Yunan Province							
KT735448					Dehong,Yunan Province							
KT735451					Dehong,Yunan Province							
KT735457					Dali,Yunan Province							
KT735460					Dali,Yunan Province							
KT735461					Dali,Yunan Province							
KT735463					Dali,Yunan Province							
KT735467					Dali,Yunan Province							
KT735469					Dali,Yunan Province							
KT735470					Dali,Yunan Province							
KT735473					Dali,Yunan Province							
KT735475					Dali,Yunan Province							
KT735480					Dali,Yunan Province							
KT735482					Dali,Yunan Province							
KT735498					Honghe,Yunan Province							
KT735500					Honghe,Yunan Province							
KT735503					Honghe,Yunan Province							
KT735525					Honghe,Yunan Province							
KT735526					Honghe,Yunan Province							
KT735528					Honghe,Yunan Province							
KT735530					Honghe,Yunan Province							
KT735532					Honghe,Yunan Province							
KT735539					Honghe,Yunan Province							
KT735549					Kuiming, Yunan Province							
KT735554					Kuiming, Yunan Province							
KT735560					Kuiming, Yunan Province							
KT735564					Kuiming, Yunan Province							
KT735568					Kuiming, Yunan Province							
KT735569					Kuiming, Yunan Province							
KT735570					Kuiming, Yunan Province							
KT735571					Kuiming, Yunan Province							
KT735577					Lincang, Yunnan Province							
KT735586					Lincang, Yunnan Province							
KT735611					Lincang, Yunnan Province							
KT735618					Wenshan, Yunan Province							
KT735619					Wenshan, Yunan Province							
KT735620					Wenshan, Yunan Province							
KT735622					Wenshan, Yunan Province							
KT735623					Wenshan, Yunan Province							
KT735624					Wenshan, Yunan Province							
KT735625					Wenshan, Yunan Province							
KT735636					Wenshan, Yunan Province							
KT735640					Wenshan, Yunan Province							
KT735662					Dehong,Yunan Province							
KT735665					Dehong,Yunan Province							
KT735668					Dehong,Yunan Province							
KT735669					Dehong,Yunan Province							
KT735674					Dehong,Yunan Province							
KT735681					Dehong,Yunan Province							
KT735687					Dehong,Yunan Province							
KT735689					Dehong,Yunan Province							
KT735690					Dehong,Yunan Province							
KT735695					Dehong,Yunan Province							
KT735697					Dehong,Yunan Province							
KT735698					Dehong,Yunan Province							
KT735700					Dehong,Yunan Province							
KT735704					Dehong,Yunan Province							
KT735709					Dehong,Yunan Province							
KT735712					Dehong,Yunan Province							
KT735714					Dehong,Yunan Province							
KT735715					Dehong,Yunan Province							
KT735718					Dehong,Yunan Province							
KT735723					Dali,Yunan Province							
KT735726					Dali,Yunan Province							
KT735727					Dali,Yunan Province							
KT735732					Dali,Yunan Province							
KT735733					Dali,Yunan Province							
KT735736					Dali,Yunan Province							
KT735743					Dali,Yunan Province							
KT735744					Dali,Yunan Province							
KT735759					Honghe,Yunan Province							
KT735775					Honghe,Yunan Province							
KT735776					Honghe,Yunan Province							
KT735778					Honghe,Yunan Province							
KT735779					Honghe,Yunan Province							
KT735784					Honghe,Yunan Province							
KT735802					Kuiming, Yunan Province							
KT735804					Kuiming, Yunan Province							
KT735810					Kuiming, Yunan Province							
KT735814					Kuiming, Yunan Province							
KT735820					Kuiming, Yunan Province							
KT735821					Kuiming, Yunan Province							
KT735822					Kuiming, Yunan Province							
KT735827					Lincang, Yunnan Province							
KT735834					Lincang, Yunnan Province							
KT735855					Lincang, Yunnan Province							
